"symbol","date","open","high","low","close","volume","adjusted"
"AERI3",2020-11-12,6.72,7.09,6.05,6.1,10719500,6.078847
"AERI3",2020-11-13,6.09,6.48,6.07,6.42,2830900,6.397738
"AERI3",2020-11-16,6.53,6.98,6.53,6.8,5568700,6.77642
"AERI3",2020-11-17,6.9,7.05,6.72,6.73,3922900,6.706663
"AERI3",2020-11-18,6.84,6.86,6.54,6.73,1352500,6.706663
"AERI3",2020-11-19,6.73,6.8,6.63,6.8,2059000,6.77642
"AERI3",2020-11-23,6.82,6.89,6.75,6.81,1813900,6.786385
"AERI3",2020-11-24,6.81,6.92,6.7,6.8,1432500,6.77642
"AERI3",2020-11-25,6.8,6.81,6.68,6.73,1917200,6.706663
"AERI3",2020-11-26,6.71,6.72,6.61,6.67,1194800,6.646871
"AERI3",2020-11-27,6.67,6.77,6.6,6.74,507300,6.716628
"AERI3",2020-11-30,6.78,6.8,6.65,6.65,1456400,6.62694
"AERI3",2020-12-01,6.7,6.88,6.67,6.8,1095100,6.77642
"AERI3",2020-12-02,6.8,6.9,6.72,6.9,737800,6.876073
"AERI3",2020-12-03,7,7,6.9,6.9,769100,6.876073
"AERI3",2020-12-04,6.92,6.98,6.84,6.97,302600,6.94583
"AERI3",2020-12-07,7,7.3,6.98,7.24,2056700,7.214894
"AERI3",2020-12-08,7.29,7.6,7.27,7.45,1153500,7.424166
"AERI3",2020-12-09,7.59,7.59,7.31,7.39,958700,7.364374
"AERI3",2020-12-10,7.49,7.49,7.19,7.33,1360700,7.304582
"AERI3",2020-12-11,7.25,7.31,7.16,7.24,892500,7.214894
"AERI3",2020-12-14,7.34,7.56,7.22,7.35,2181400,7.324512
"AERI3",2020-12-15,7.35,7.44,7.2,7.32,3563000,7.294617
"AERI3",2020-12-16,7.31,7.45,7.25,7.38,3449500,7.354409
"AERI3",2020-12-17,7.37,7.48,7.37,7.48,1239200,7.454062
"AERI3",2020-12-18,7.5,7.6,7.43,7.54,2275600,7.513854
"AERI3",2020-12-21,7.54,8.04,7.42,7.94,3576100,7.912467
"AERI3",2020-12-22,8.1,9.25,8.06,9.09,5929300,9.058479
"AERI3",2020-12-23,9.39,10.37,9.36,9.66,10695300,9.626502
"AERI3",2020-12-28,9.79,10.1,9.79,9.91,5044200,9.875635
"AERI3",2020-12-29,9.96,10.72,9.93,10.34,5365200,10.304144
"AERI3",2020-12-30,10.4,10.8,10,10,5575800,9.965323
"AERI3",2021-01-04,10.39,10.76,10.03,10.53,5003800,10.493485
"AERI3",2021-01-05,10.56,10.85,10.18,10.31,5088800,10.274249
"AERI3",2021-01-06,10.4,10.5,10.1,10.13,2569000,10.094872
"AERI3",2021-01-07,10.17,10.49,10.17,10.37,3661200,10.33404
"AERI3",2021-01-08,10.39,10.69,10.22,10.66,3022600,10.623034
"AERI3",2021-01-11,10.5,11.58,10.41,11.5,6549300,11.460122
"AERI3",2021-01-12,11.66,12.12,11.57,11.92,6202600,11.878665
"AERI3",2021-01-13,11.94,12.78,11.94,12.33,5075000,12.287244
"AERI3",2021-01-14,12.56,13.06,12.35,12.89,6825500,12.845302
"AERI3",2021-01-15,12.89,13.79,12.81,13.05,11450700,13.004747
"AERI3",2021-01-18,13.32,13.52,12.91,13.13,5244800,13.08447
"AERI3",2021-01-19,13.25,13.38,11.96,11.96,9051700,11.918527
"AERI3",2021-01-20,12.18,13.1,11.52,13,14854400,12.95492
"AERI3",2021-01-21,13.55,13.9,12.45,12.82,18842500,12.775544
"AERI3",2021-01-22,12.64,13.18,12.21,12.36,10922900,12.317139
"AERI3",2021-01-26,12.65,12.82,11.79,12.22,9108200,12.177626
"AERI3",2021-01-27,12.09,12.16,11.62,11.74,7635700,11.699289
"AERI3",2021-01-28,11.7,12.3,11.05,12.22,7492300,12.177626
"AERI3",2021-01-29,12,12.19,11.52,11.84,5445300,11.798943
"AERI3",2021-02-01,12.18,12.48,11.97,12.45,4156600,12.406827
"AERI3",2021-02-02,12.65,12.75,12.31,12.43,5177700,12.386897
"AERI3",2021-02-03,12.46,12.53,12.11,12.11,3479900,12.068007
"AERI3",2021-02-04,12.11,12.29,11.95,11.97,3466700,11.928493
"AERI3",2021-02-05,12.1,12.12,11.62,11.72,4058100,11.679359
"AERI3",2021-02-08,11.85,12.09,11.45,11.9,9070700,11.858734
